501|Livro 748|Autor 497|1
251|Livro 380|Autor 141|1
126|Livro 595|Autor 689|1
63|Livro 240|Autor 766|1
32|Livro 312|Autor 892|1
16|Livro 614|Autor 610|1
7|Livro 731|Autor 839|1
3|Livro 677|Autor 569|1
1|Livro 212|Autor 202|1
2|Livro 115|Autor 43|1
5|Livro 440|Autor 355|1
4|Livro 916|Autor 238|1
6|Livro 964|Autor 191|1
12|Livro 49|Autor 798|1
9|Livro 696|Autor 116|1
8|Livro 159|Autor 944|1
11|Livro 306|Autor 562|1
14|Livro 404|Autor 92|1
13|Livro 230|Autor 882|1
15|Livro 920|Autor 338|1
24|Livro 466|Autor 795|1
20|Livro 921|Autor 77|1
18|Livro 349|Autor 198|1
17|Livro 615|Autor 565|1
19|Livro 596|Autor 746|1
22|Livro 589|Autor 453|1
21|Livro 713|Autor 503|1
23|Livro 173|Autor 39|1
28|Livro 775|Autor 748|1
26|Livro 928|Autor 311|1
25|Livro 73|Autor 936|1
27|Livro 600|Autor 296|1
30|Livro 26|Autor 500|1
29|Livro 139|Autor 232|1
31|Livro 807|Autor 689|1
47|Livro 489|Autor 760|1
39|Livro 161|Autor 677|1
35|Livro 1000|Autor 332|1
33|Livro 165|Autor 466|1
34|Livro 381|Autor 92|1
37|Livro 409|Autor 966|1
36|Livro 503|Autor 505|1
38|Livro 334|Autor 706|1
43|Livro 348|Autor 247|1
41|Livro 199|Autor 170|1
40|Livro 592|Autor 669|1
42|Livro 674|Autor 758|1
45|Livro 754|Autor 729|1
44|Livro 356|Autor 727|1
46|Livro 987|Autor 18|1
55|Livro 268|Autor 151|1
51|Livro 825|Autor 314|1
49|Livro 582|Autor 312|1
48|Livro 170|Autor 873|1
50|Livro 604|Autor 679|1
53|Livro 200|Autor 484|1
52|Livro 598|Autor 619|1
54|Livro 991|Autor 219|1
59|Livro 701|Autor 880|1
57|Livro 159|Autor 809|1
56|Livro 151|Autor 249|1
58|Livro 543|Autor 892|1
61|Livro 262|Autor 768|1
60|Livro 697|Autor 21|1
62|Livro 517|Autor 162|1
94|Livro 889|Autor 517|1
78|Livro 425|Autor 873|1
70|Livro 455|Autor 758|1
66|Livro 152|Autor 152|1
64|Livro 732|Autor 372|1
65|Livro 152|Autor 254|1
68|Livro 869|Autor 233|1
67|Livro 75|Autor 704|1
69|Livro 194|Autor 499|1
74|Livro 403|Autor 309|1
72|Livro 220|Autor 890|1
71|Livro 857|Autor 203|1
73|Livro 277|Autor 74|1
76|Livro 111|Autor 768|1
75|Livro 137|Autor 47|1
77|Livro 267|Autor 212|1
86|Livro 890|Autor 453|1
82|Livro 495|Autor 387|1
80|Livro 130|Autor 520|1
79|Livro 535|Autor 290|1
81|Livro 445|Autor 672|1
84|Livro 886|Autor 832|1
83|Livro 970|Autor 547|1
85|Livro 678|Autor 214|1
90|Livro 768|Autor 177|1
88|Livro 410|Autor 965|1
87|Livro 457|Autor 421|1
89|Livro 656|Autor 215|1
92|Livro 655|Autor 345|1
91|Livro 698|Autor 452|1
93|Livro 26|Autor 250|1
110|Livro 830|Autor 886|1
102|Livro 745|Autor 684|1
98|Livro 326|Autor 1000|1
96|Livro 575|Autor 773|1
95|Livro 209|Autor 427|1
97|Livro 151|Autor 815|1
100|Livro 168|Autor 913|1
99|Livro 318|Autor 634|1
101|Livro 636|Autor 336|1
106|Livro 214|Autor 973|1
104|Livro 629|Autor 603|1
103|Livro 556|Autor 849|1
105|Livro 415|Autor 186|1
108|Livro 133|Autor 411|1
107|Livro 796|Autor 820|1
109|Livro 7|Autor 588|1
118|Livro 745|Autor 33|1
114|Livro 165|Autor 147|1
112|Livro 249|Autor 282|1
111|Livro 699|Autor 797|1
113|Livro 601|Autor 585|1
116|Livro 235|Autor 472|1
115|Livro 891|Autor 396|1
117|Livro 599|Autor 444|1
122|Livro 902|Autor 419|1
120|Livro 665|Autor 344|1
119|Livro 816|Autor 869|1
121|Livro 637|Autor 508|1
124|Livro 140|Autor 399|1
123|Livro 583|Autor 713|1
